time,alpha_a_fr,alpha_b_fr,alpha_c_fr,alpha_a_fl,alpha_b_fl,alpha_c_fl
1741027512.1663902,0.482322633266449,-0.2411613166332245,-0.2411613166332245,-0.5525435209274292,0.17094044387340546,0.17094044387340546
1741027512.1769621,0.49325641989707947,-0.24662820994853973,-0.24662820994853973,-0.5443235635757446,0.19556106626987457,0.19556106626987457
1741027512.1873665,0.5006294846534729,-0.25031474232673645,-0.25031474232673645,-0.5330460071563721,0.21789823472499847,0.21789823472499847
1741027512.1989875,0.5050101280212402,-0.2525050640106201,-0.2525050640106201,-0.5163825750350952,0.24113264679908752,0.24113264679908752
1741027512.2085624,0.4993089735507965,-0.25886091589927673,-0.25886091589927673,-0.5054466128349304,0.2527233064174652,0.2527233064174652
1741027512.218305,0.4792209565639496,-0.2751999497413635,-0.2751999497413635,-0.5029472708702087,0.25147363543510437,0.25147363543510437
1741027512.2291503,0.45347675681114197,-0.29163092374801636,-0.29163092374801636,-0.496738463640213,0.2483692318201065,0.2483692318201065
1741027512.239872,0.42496857047080994,-0.3059196174144745,-0.3059196174144745,-0.48725879192352295,0.24362939596176147,0.24362939596176147
1741027512.2503753,0.3923563063144684,-0.3188227415084839,-0.3188227415084839,-0.4741193652153015,0.23705968260765076,0.23705968260765076
1741027512.260084,0.35995376110076904,-0.32903051376342773,-0.32903051376342773,-0.45932283997535706,0.22966141998767853,0.22966141998767853
1741027512.269791,0.3249608874320984,-0.33787739276885986,-0.33787739276885986,-0.44189217686653137,0.22094608843326569,0.22094608843326569
1741027512.2795336,0.287223756313324,-0.34547290205955505,-0.34547290205955505,-0.4217977821826935,0.21089889109134674,0.21089889109134674
1741027512.2897165,0.24540138244628906,-0.35205572843551636,-0.35205572843551636,-0.3983047306537628,0.1991523653268814,0.1991523653268814
1741027512.300367,0.19842281937599182,-0.35764962434768677,-0.35764962434768677,-0.3707149624824524,0.1853574812412262,0.1853574812412262
1741027512.309845,0.1547536700963974,-0.36149489879608154,-0.36149489879608154,-0.34416571259498596,0.17208285629749298,0.17208285629749298
1741027512.3200512,0.1055309996008873,-0.3645798861980438,-0.3645798861980438,-0.3134072422981262,0.1567036211490631,0.1567036211490631
1741027512.330358,0.053915634751319885,-0.366670697927475,-0.366670697927475,-0.2803908884525299,0.14019544422626495,0.14019544422626495
1741027512.3405406,0.001081340480595827,-0.36783984303474426,-0.36783984303474426,-0.24594746530056,0.12297373265028,0.12297373265028
1741027512.3510423,-0.05434846132993698,-0.3682263493537903,-0.3682263493537903,-0.20925192534923553,0.10462596267461777,0.10462596267461777
1741027512.3605833,-0.10774922370910645,-0.36795666813850403,-0.36795666813850403,-0.1734716296195984,0.0867358148097992,0.0867358148097992
1741027512.3702803,-0.1612682044506073,-0.36719611287117004,-0.36719611287117004,-0.1372852623462677,0.06864263117313385,0.06864263117313385
1741027512.3800566,-0.21735981106758118,-0.366004079580307,-0.366004079580307,-0.09909617900848389,0.04954808950424194,0.04954808950424194
1741027512.3898335,-0.27270063757896423,-0.36455094814300537,-0.36455094814300537,-0.061233535408973694,0.030616767704486847,0.030616767704486847
1741027512.4013422,-0.33410215377807617,-0.3627494275569916,-0.3627494275569916,-0.0190981887280941,0.00954909436404705,0.00954909436404705
1741027512.4120662,-0.3764275312423706,-0.33639225363731384,-0.33639225363731384,0.026690177619457245,-0.013345088809728622,-0.013345088809728622
1741027512.4219444,-0.39796411991119385,-0.29835546016693115,-0.29835546016693115,0.0664057731628418,-0.0332028865814209,-0.0332028865814209
1741027512.4319417,-0.4187343120574951,-0.26116400957107544,-0.26116400957107544,0.10504688322544098,-0.05252344161272049,-0.05252344161272049
1741027512.4424078,-0.4400053918361664,-0.22218261659145355,-0.22218261659145355,0.14521518349647522,-0.07260759174823761,-0.07260759174823761
1741027512.452785,-0.4604775011539459,-0.18334564566612244,-0.18334564566612244,0.18475458025932312,-0.09237729012966156,-0.09237729012966156
1741027512.4623168,-0.4778543710708618,-0.14887693524360657,-0.14887693524360657,0.21931828558444977,-0.10965914279222488,-0.10965914279222488
1741027512.4720442,-0.49438488483428955,-0.11420878022909164,-0.11420878022909164,0.25345075130462646,-0.12672537565231323,-0.12672537565231323
1741027512.4817083,-0.5092917680740356,-0.08062098920345306,-0.08062098920345306,0.28578054904937744,-0.14289027452468872,-0.14289027452468872
1741027512.4919143,-0.5232934951782227,-0.04594380035996437,-0.04594380035996437,0.3182331323623657,-0.15911656618118286,-0.15911656618118286
1741027512.502199,-0.5353829860687256,-0.01189762819558382,-0.01189762819558382,0.34899023175239563,-0.17449511587619781,-0.17449511587619781
1741027512.5119805,-0.5447753667831421,0.019481580704450607,0.019481580704450607,0.3761712908744812,-0.1880856454372406,-0.1880856454372406
1741027512.5217035,-0.5518516898155212,0.04937022179365158,0.04937022179365158,0.40081462264060974,-0.20040731132030487,-0.20040731132030487
1741027512.531199,-0.5565242767333984,0.07750458270311356,0.07750458270311356,0.4226858913898468,-0.2113429456949234,-0.2113429456949234
1741027512.540957,-0.5588687062263489,0.10510285943746567,0.10510285943746567,0.44264769554138184,-0.22132384777069092,-0.22132384777069092
1741027512.5516188,-0.5584753155708313,0.13368961215019226,0.13368961215019226,0.46144330501556396,-0.23072165250778198,-0.23072165250778198
1741027512.5616703,-0.5552186965942383,0.1589578241109848,0.1589578241109848,0.47611767053604126,-0.23805883526802063,-0.23805883526802063
1741027512.571303,-0.5491249561309814,0.18264687061309814,0.18264687061309814,0.4878478944301605,-0.24392394721508026,-0.24392394721508026
1741027512.5814803,-0.5398384928703308,0.205436572432518,0.205436572432518,0.49685004353523254,-0.24842502176761627,-0.24842502176761627
1741027512.5910914,-0.5280224084854126,0.22578060626983643,0.22578060626983643,0.502535343170166,-0.251267671585083,-0.251267671585083
1741027512.6020148,-0.5112581849098206,0.24694117903709412,0.24694117903709412,0.5054662227630615,-0.25273311138153076,-0.25273311138153076
1741027512.6132798,-0.5046004056930542,0.2523002028465271,0.2523002028465271,0.4899235665798187,-0.2669770419597626,-0.2669770419597626
